Id,Text,Tags,Label,LabelNum
31556268,"How to use keras for XOR. I want to practice keras by code a xor, but the result is not right, the followed is my code, thanks for everybody to help me. from keras.models import Sequential from keras.layers.core import Dense,Activation from keras.optimizers import SGD import numpy as np model = Sequential()# two layers model.add(Dense(input_dim=2,output_dim=4,init=""glorot_uniform"")) model.add(Activation(""sigmoid"")) model.add(Dense(input_dim=4,output_dim=1,init=""glorot_uniform"")) model.add(Activation(""sigmoid"")) sgd = SGD(l2=0.0,lr=0.05, decay=1e-6, momentum=0.11, nesterov=True) model.compile(loss='mean_absolute_error', optimizer=sgd) print ""begin to train"" list1 = [1,1] label1 = [0] list2 = [1,0] label2 = [1] list3 = [0,0] label3 = [0] list4 = [0,1] label4 = [1] train_data = np.array((list1,list2,list3,list4)) #four samples for epoch = 1000 label = np.array((label1,label2,label3,label4)) model.fit(train_data,label,nb_epoch = 1000,batch_size = 4,verbose = 1,shuffle=True,show_accuracy = True) list_test = [0,1] test = np.array((list_test,list1)) classes = model.predict(test) print classes Output [[ 0.31851079] [ 0.34130159]] [[ 0.49635666] [0.51274764]]",|python|neural-network|xor|keras|,training,2
31627380,"Trying Kaggle Titanic with keras .. getting loss and valid_loss -0.0000. Hi I am getting weird results for the following code for the problem posted here (https://www.kaggle.com/c/titanic) - from keras.models import Sequential from keras.layers.core import Dense, Activation, Dropout from keras.layers.advanced_activations import PReLU, LeakyReLU from keras.layers.recurrent import SimpleRNN, SimpleDeepRNN from keras.layers.embeddings import Embedding from keras.layers.recurrent import LSTM, GRU import pandas as pd import numpy as np from sklearn import preprocessing np.random.seed(1919) ### Constants ### data_folder = ""/home/saj1919/Public/Data_Science_Mining_Study/submissions/titanic/data/"" out_folder = ""/home/saj1919/Public/Data_Science_Mining_Study/submissions/titanic/output/"" batch_size = 4 nb_epoch = 10 ### load train and test ### train = pd.read_csv(data_folder+'train.csv', index_col=0) test = pd.read_csv(data_folder+'test.csv', index_col=0) print ""Data Read complete"" Y = train.Survived train.drop('Survived', axis=1, inplace=True) columns = train.columns test_ind = test.index train['Age'] = train['Age'].fillna(train['Age'].mean()) test['Age'] = test['Age'].fillna(test['Age'].mean()) train['Fare'] = train['Fare'].fillna(train['Fare'].mean()) test['Fare'] = test['Fare'].fillna(test['Fare'].mean()) category_index = [0,1,2,4,5,6,8,9] for i in category_index: print str(i)+"" : ""+columns[i] train[columns[i]] = train[columns[i]].fillna('missing') test[columns[i]] = test[columns[i]].fillna('missing') train = np.array(train) test = np.array(test) ### label encode the categorical variables ### for i in category_index: print str(i)+"" : ""+str(columns[i]) lbl = preprocessing.LabelEncoder() lbl.fit(list(train[:,i]) + list(test[:,i])) train[:,i] = lbl.transform(train[:,i]) test[:,i] = lbl.transform(test[:,i]) ### making data as numpy float ### train = train.astype(np.float32) test = test.astype(np.float32) #Y = np.array(Y).astype(np.int32) model = Sequential() model.add(Dense(len(columns), 512)) model.add(Activation('relu')) model.add(Dropout(0.5)) model.add(Dense(512, 1)) model.add(Activation('softmax')) model.compile(loss='categorical_crossentropy', optimizer=""adam"") model.fit(train, Y, nb_epoch=nb_epoch, batch_size=batch_size, validation_split=0.20) preds = model.predict(test,batch_size=batch_size) pred_arr = [] for pred in preds: pred_arr.append(pred[0]) ### Output Results ### preds = pd.DataFrame({""PassengerId"": test_ind, ""Survived"": pred_arr}) preds = preds.set_index('PassengerId') preds.to_csv(out_folder+'test.csv') I am getting following results : Train on 712 samples, validate on 179 samples Epoch 0 712/712 [==============================] - 0s - loss: -0.0000 - val_loss: -0.0000 Epoch 1 712/712 [==============================] - 0s - loss: -0.0000 - val_loss: -0.0000 Epoch 2 712/712 [==============================] - 0s - loss: -0.0000 - val_loss: -0.0000 Epoch 3 712/712 [==============================] - 0s - loss: -0.0000 - val_loss: -0.0000 Epoch 4 712/712 [==============================] - 0s - loss: -0.0000 - val_loss: -0.0000 Epoch 5 712/712 [==============================] - 0s - loss: -0.0000 - val_loss: -0.0000 Epoch 6 712/712 [==============================] - 0s - loss: -0.0000 - val_loss: -0.0000 Epoch 7 712/712 [==============================] - 0s - loss: -0.0000 - val_loss: -0.0000 Epoch 8 712/712 [==============================] - 0s - loss: -0.0000 - val_loss: -0.0000 Epoch 9 712/712 [==============================] - 0s - loss: -0.0000 - val_loss: -0.0000 I am trying to create a simple 3 layer network. Totally basic code. I have tried these kind of classification problems before using keras on kaggle. But this time getting this error. Is it overfitting due to less data. What I am missing ? Can someone help ?",|python|keras|kaggle|,model,0
31880720,"How to prepare a dataset for Keras?. Motivation To run a set of labeled vectors through Keras neural network. Example Looking at Keras dataset example mnist: keras.datasets import mnist (x_tr, y_tr), (x_te, y_te) = mnist.load_data() print x_tr.shape It seem to be a 3 dimensional numpy array: (60000, 28, 28) 1st dimension is for the samples 2nd and 3rd for each sample features Attempt Building the labeled vectors: X_train = numpy.array([[1] * 128] * (10 ** 4) + [[0] * 128] * (10 ** 4)) X_test = numpy.array([[1] * 128] * (10 ** 2) + [[0] * 128] * (10 ** 2)) Y_train = numpy.array([True] * (10 ** 4) + [False] * (10 ** 4)) Y_test = numpy.array([True] * (10 ** 2) + [False] * (10 ** 2)) X_train = X_train.astype(""float32"") X_test = X_test.astype(""float32"") Y_train = Y_train.astype(""bool"") Y_test = Y_test.astype(""bool"") The training code model = Sequential() model.add(Dense(128, 50)) model.add(Activation('relu')) model.add(Dropout(0.2)) model.add(Dense(50, 50)) model.add(Activation('relu')) model.add(Dropout(0.2)) model.add(Dense(50, 1)) model.add(Activation('softmax')) rms = RMSprop() model.compile(loss='binary_crossentropy', optimizer=rms) model.fit(X_train, Y_train, batch_size=batch_size, nb_epoch=nb_epoch, show_accuracy=True, verbose=2, validation_data=(X_test, Y_test)) score = model.evaluate(X_test, Y_test, show_accuracy=True, verbose=0) print('Test score:', score[0]) print('Test accuracy:', score[1]) Result Test score: 13.9705320154 Test accuracy: 1.0 Why do I get such a bad result for such a simple dataset? Is my dataset malformed? Thanks!",|python|machine-learning|keras|,model,0
33702251,"tensorflow loss minimization type error. I have a loss function implemented in TensorFlow that computes mean squared error. All tensors being used to compute the objective are of type float64 and therefore the loss function itself is of dtype float64. In particular, print cost ==> Tensor(""add_5:0"", shape=TensorShape([]), dtype=float64) However, when I attempt to minimize I obtain a value error with respect to type of the tensor: GradientDescentOptimizer(learning_rate=0.1).minimize(cost) ==> ValueError: Invalid type <dtype: 'float64'> for add_5:0, expected: [tf.float32]. I don't understand why the expected dtype of the tensor is a single precision float when all variables leading up to the computation are of type float64. I have confirmed that when I coerce all variables to be float32 the computation executes correctly. Does anyone have any insight as to why this could be happening? My computer is a 64bit machine. Here is an example that reproduces the behavior import tensorflow as tf import numpy as np # Make 100 phony data points in NumPy. x_data = np.random.rand(2, 100) # Random input y_data = np.dot([0.100, 0.200], x_data) + 0.300 # Construct a linear model. b = tf.Variable(tf.zeros([1], dtype=np.float64)) W = tf.Variable(tf.random_uniform([1, 2], minval=-1.0, maxval=1.0, dtype=np.float64)) y = tf.matmul(W, x_data) + b # Minimize the squared errors. loss = tf.reduce_mean(tf.square(y - y_data)) optimizer = tf.train.GradientDescentOptimizer(0.5) train = optimizer.minimize(loss) # For initializing the variables. init = tf.initialize_all_variables() # Launch the graph sess = tf.Session() sess.run(init) # Fit the plane. for step in xrange(0, 201): sess.run(train) if step % 20 == 0: print step, sess.run(W), sess.run(b)",|tensorflow|,api,4
33712178,"Tensorflow NaN bug?. I'm using TensorFlow and I modified the tutorial example to take my RGB images. The algorithm works flawlessly out of the box on the new image set, until suddenly (still converging, it's around 92% accuracy usually), it crashes with the error that ReluGrad received non-finite values. Debugging shows that nothing unusual happens with the numbers until very suddenly, for unknown reason, the error is thrown. Adding print ""max W vales: %g %g %g %g""%(tf.reduce_max(tf.abs(W_conv1)).eval(),tf.reduce_max(tf.abs(W_conv2)).eval(),tf.reduce_max(tf.abs(W_fc1)).eval(),tf.reduce_max(tf.abs(W_fc2)).eval()) print ""max b vales: %g %g %g %g""%(tf.reduce_max(tf.abs(b_conv1)).eval(),tf.reduce_max(tf.abs(b_conv2)).eval(),tf.reduce_max(tf.abs(b_fc1)).eval(),tf.reduce_max(tf.abs(b_fc2)).eval()) as debug code to each loop, yields the following output: Step 8600 max W vales: 0.759422 0.295087 0.344725 0.583884 max b vales: 0.110509 0.111748 0.115327 0.124324 Step 8601 max W vales: 0.75947 0.295084 0.344723 0.583893 max b vales: 0.110516 0.111753 0.115322 0.124332 Step 8602 max W vales: 0.759521 0.295101 0.34472 0.5839 max b vales: 0.110521 0.111747 0.115312 0.124365 Step 8603 max W vales: -3.40282e+38 -3.40282e+38 -3.40282e+38 -3.40282e+38 max b vales: -3.40282e+38 -3.40282e+38 -3.40282e+38 -3.40282e+38 Since none of my values is very high, the only way a NaN can happen is by a badly handled 0/0, but since this tutorial code doesn't do any divisions or similar operations, I see no other explanation than that this comes from the internal TF code. I'm clueless on what to do with this. Any suggestions? The algorithm is converging nicely, its accuracy on my validation set was steadily climbing and just reached 92.5% at iteration 8600.",|nan|tensorflow|,training,2
33711427,"TensorFlow initializing Tensor of ones. So suppose I have a tensor X = tf.placeholder(""float"", [None, 5]) So that I know the number of columns but not the number of rows. I need to initialize a vector of ones of dimension nrows x 1 Now the following block of code does not work, o = tf.ones(shape=(tf.shape(X)[0], 1)) ==> TypeError: List of Tensors when single Tensor expected Nor does, o = tf.ones(shape=(X.get_shape()[0].value, 1)) ==> TypeError: Input 'dims' of 'Fill' Op has type string that does not match expected type of int32. Now, I have found that one way to get around this is to actually make my vector of ones a placeholder, o = tf.placeholder(dtype=tf.float32, shape=[None, 1]) And to pass in a numpy array of ones of appropriate size in my feed_dict. But this solution strikes me as inelegant and not the intended use of a placeholder. I could be wrong here, but surely there's a better way.",|python|tensorflow|,tensor,1
33859864,"How to create custom objective function in Keras?. There are many objective functions in Keras here. But how can you create your own objective function, I tried to create a very basic objective function but it gives an error and I there is no way to know the size of the parameters passed to the function at run time. def loss(y_true,y_pred): loss = T.vector('float64') for i in range(1): flag = True for j in range(y_true.ndim): if(y_true[i][j] == y_pred[i][j]): flag = False if(flag): loss = loss + 1.0 loss /= y_true.shape[0] print loss.type print y_true.shape[0] return loss I am getting 2 contradicting errors, model.compile(loss=loss, optimizer=ada) File ""/usr/local/lib/python2.7/dist-packages/Keras-0.0.1-py2.7.egg/keras/models.py"", line 75, in compile updates = self.optimizer.get_updates(self.params, self.regularizers, self.constraints, train_loss) File ""/usr/local/lib/python2.7/dist-packages/Keras-0.0.1-py2.7.egg/keras/optimizers.py"", line 113, in get_updates grads = self.get_gradients(cost, params, regularizers) File ""/usr/local/lib/python2.7/dist-packages/Keras-0.0.1-py2.7.egg/keras/optimizers.py"", line 23, in get_gradients grads = T.grad(cost, params) File ""/usr/local/lib/python2.7/dist-packages/theano/gradient.py"", line 432, in grad raise TypeError(""cost must be a scalar."") TypeError: cost must be a scalar. It says cost or loss returned in the function must be a scalar but if I change the line 2 from loss = T.vector('float64') to loss = T.scalar('float64') it shows this error model.compile(loss=loss, optimizer=ada) File ""/usr/local/lib/python2.7/dist-packages/Keras-0.0.1-py2.7.egg/keras/models.py"", line 75, in compile updates = self.optimizer.get_updates(self.params, self.regularizers, self.constraints, train_loss) File ""/usr/local/lib/python2.7/dist-packages/Keras-0.0.1-py2.7.egg/keras/optimizers.py"", line 113, in get_updates grads = self.get_gradients(cost, params, regularizers) File ""/usr/local/lib/python2.7/dist-packages/Keras-0.0.1-py2.7.egg/keras/optimizers.py"", line 23, in get_gradients grads = T.grad(cost, params) File ""/usr/local/lib/python2.7/dist-packages/theano/gradient.py"", line 529, in grad handle_disconnected(elem) File ""/usr/local/lib/python2.7/dist-packages/theano/gradient.py"", line 516, in handle_disconnected raise DisconnectedInputError(message) theano.gradient.DisconnectedInputError: grad method was asked to compute the gradient with respect to a variable that is not part of the computational graph of the cost, or is used only by a non-differentiable operator: <TensorType(float64, matrix)>",|python|keras|,training,2
33969059,"Trying to get simple Keras neural net example to work. I've been fooling-around trying to get simple examples that I create working, because I find the examples given with large complicated datasets to be hard to grasp intuitively. The program below takes a list of weights [x_0 x_1 ... x_n] and uses them to create a random scattering of points on a plane with some random noise added in. I then train the simple neural nets on this data and check the results. When I do this with the Graph models everything works perfectly, the loss score goes down to zero predictably as the model converges on the weights given. However, when I try to use a sequential model, nothing happens. Code below If you want I can post my other script that uses the Graph instead of sequential and show that it finds the input weights perfectly. #!/usr/bin/env python from keras.models import Sequential, Graph from keras.layers.core import Dense, Dropout, Activation from keras.optimizers import SGD import numpy as np import theano, sys NUM_TRAIN = 100000 NUM_TEST = 10000 INDIM = 3 mn = 1 def myrand(a, b) : return (b)*(np.random.random_sample()-0.5)+a def get_data(count, ws, xno, bounds=100, rweight=0.0) : xt = np.random.rand(count, len(ws)) xt = np.multiply(bounds, xt) yt = np.random.rand(count, 1) ws = np.array(ws, dtype=np.float) xno = np.array([float(xno) + rweight*myrand(-mn, mn) for x in xt], dtype=np.float) yt = np.dot(xt, ws) yt = np.add(yt, xno) return (xt, yt) if __name__ == '__main__' : if len(sys.argv) > 1 : EPOCHS = int(sys.argv[1]) XNO = float(sys.argv[2]) WS = [float(x) for x in sys.argv[3:]] mx = max([abs(x) for x in (WS+[XNO])]) mn = min([abs(x) for x in (WS+[XNO])]) mn = min(1, mn) WS = [float(x)/mx for x in WS] XNO = float(XNO)/mx INDIM = len(WS) else : INDIM = 3 WS = [2.0, 1.0, 0.5] XNO = 2.2 X_test, y_test = get_data(10000, WS, XNO, 10000, rweight=0.4) X_train, y_train = get_data(100000, WS, XNO, 10000) model = Sequential() model.add(Dense(INDIM, input_dim=INDIM, init='uniform', activation='tanh')) model.add(Dropout(0.5)) model.add(Dense(2, init='uniform', activation='tanh')) model.add(Dropout(0.5)) model.add(Dense(1, init='uniform', activation='softmax')) sgd = SGD(lr=0.1, decay=1e-6, momentum=0.9, nesterov=True) model.compile(loss='mean_squared_error', optimizer=sgd) model.fit(X_train, y_train, shuffle=""batch"", show_accuracy=True, nb_epoch=EPOCHS) score, acc = model.evaluate(X_test, y_test, batch_size=16, show_accuracy=True) print score print acc predict_data = np.random.rand(100*100, INDIM) predictions = model.predict(predict_data) for x in range(len(predict_data)) : print ""%s --> %s"" % (str(predict_data[x]), str(predictions[x])) The output is as follows $ ./keras_hello.py 20 10 5 4 3 2 1 Using gpu device 0: GeForce GTX 970 (CNMeM is disabled) Epoch 1/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 2/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 3/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 4/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 5/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 6/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 7/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 8/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 9/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 10/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 11/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 12/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 13/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 14/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 15/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 16/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 17/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 18/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 19/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 Epoch 20/20 100000/100000 [==============================] - 0s - loss: 60726734.3061 - acc: 1.0000 10000/10000 [==============================] - 0s 60247198.6661 1.0 [ 0.06698217 0.70033048 0.4317502 0.78504855 0.26173543] --> [ 1.] [ 0.28940025 0.21746189 0.93097653 0.94885535 0.56790348] --> [ 1.] [ 0.69430499 0.1622601 0.22802859 0.75709315 0.88948355] --> [ 1.] [ 0.90714721 0.99918648 0.31404901 0.83920051 0.84081288] --> [ 1.] [ 0.02214092 0.03132355 0.14417082 0.33901317 0.91491426] --> [ 1.] [ 0.31426055 0.80830795 0.46686523 0.58353359 0.50000842] --> [ 1.] [ 0.27649579 0.77914451 0.33572287 0.08703303 0.50865592] --> [ 1.] [ 0.99280349 0.24028343 0.05556034 0.31411902 0.41912574] --> [ 1.] [ 0.91897031 0.96840695 0.23561379 0.16005505 0.06567748] --> [ 1.] [ 0.27392867 0.44021533 0.44129147 0.40658522 0.47582736] --> [ 1.] [ 0.82063221 0.95182938 0.64210378 0.69578691 0.2946907 ] --> [ 1.] [ 0.12672415 0.35700418 0.89303047 0.80726545 0.79870725] --> [ 1.] [ 0.6662085 0.41358115 0.76637022 0.82093095 0.76973305] --> [ 1.] [ 0.96201937 0.29706843 0.22856618 0.59924945 0.05653825] --> [ 1.] [ 0.34120276 0.71866377 0.18758929 0.52424856 0.64061623] --> [ 1.] [ 0.25471237 0.35001821 0.63248632 0.45442404 0.96967989] --> [ 1.] [ 0.79390087 0.00100834 0.49645204 0.55574269 0.33487764] --> [ 1.] [ 0.41330261 0.38061826 0.33766183 0.23133121 0.80999653] --> [ 1.] [ 0.49603561 0.33414841 0.10180184 0.9227252 0.35073833] --> [ 1.] [ 0.17960345 0.05259438 0.565135 0.40465603 0.91518233] --> [ 1.] [ 0.36129943 0.903603 0.63047644 0.96553285 0.94006713] --> [ 1.] [ 0.7150973 0.93945141 0.31802763 0.15849441 0.92902078] --> [ 1.] [ 0.23730571 0.65360248 0.68776259 0.79697206 0.86814652] --> [ 1.] [ 0.47414382 0.75421265 0.32531333 0.43218305 0.4680773 ] --> [ 1.] [ 0.4887811 0.66130135 0.79913557 0.68948405 0.48376372] --> [ 1.] ....",|python|neural-network|theano|keras|,model,0
34311586,"Cannot train a neural network solving XOR mapping. I am trying to implement a simple classifier for the XOR problem in Keras. Here is the code: from keras.models import Sequential from keras.layers.core import Dense, Dropout, Activation from keras.optimizers import SGD import numpy X = numpy.array([[1., 1.], [0., 0.], [1., 0.], [0., 1.], [1., 1.], [0., 0.]]) y = numpy.array([[0.], [0.], [1.], [1.], [0.], [0.]]) model = Sequential() model.add(Dense(2, input_dim=2, init='uniform', activation='sigmoid')) model.add(Dense(3, init='uniform', activation='sigmoid')) model.add(Dense(1, init='uniform', activation='softmax')) sgd = SGD(lr=0.001, decay=1e-6, momentum=0.9, nesterov=True) model.compile(loss='mean_squared_error', optimizer=sgd) model.fit(X, y, nb_epoch=20) print() score = model.evaluate(X, y) print() print(score) print(model.predict(numpy.array([[1, 0]]))) print(model.predict(numpy.array([[0, 0]]))) I tried changing the number of epochs, learning rate, and other parameters. But the error remains constant from the first to the last epoch. Epoch 13/20 6/6 [==============================] - 0s - loss: 0.6667 Epoch 14/20 6/6 [==============================] - 0s - loss: 0.6667 Epoch 15/20 6/6 [==============================] - 0s - loss: 0.6667 Epoch 16/20 6/6 [==============================] - 0s - loss: 0.6667 Epoch 17/20 6/6 [==============================] - 0s - loss: 0.6667 Epoch 18/20 6/6 [==============================] - 0s - loss: 0.6667 Epoch 19/20 6/6 [==============================] - 0s - loss: 0.6667 Epoch 20/20 6/6 [==============================] - 0s - loss: 0.6667 6/6 [==============================] - 0s 0.666666686535 [[ 1.]] [[ 1.]] How do you train this network in Keras? Also, is there a better library for implementing neural networks? I tried PyBrain, but it has been abandoned, tried scikit-neuralnetwork but the documentation is really cryptic so couldn't figure out how to train it. And I seriously doubt if Keras even works.",|python|neural-network|keras|,model,0
34328233,"Feeding parameters into placeholders in tensorflow. I'm trying to get into tensorflow, setting up a network and then feeding data to it. For some reason I end up with the error message ValueError: setting an array element with a sequence. I made a minimal example of what I'm trying to do: import tensorflow as tf K = 10 lchild = tf.placeholder(tf.float32, shape=(K)) rchild = tf.placeholder(tf.float32, shape=(K)) parent = tf.nn.tanh(tf.add(lchild, rchild)) input = [ tf.Variable(tf.random_normal([K])), tf.Variable(tf.random_normal([K])) ] with tf.Session() as sess : print(sess.run([parent], feed_dict={ lchild: input[0], rchild: input[1] })) Basically, I'm setting up a network with place holders and a sequence of input embeddings that I want to learn, and then I try to run the network, feeding the input embeddings into it. From what I can tell by searching for the error message, there might be something wrong with my feed_dict, but I can't see any obvious mismatches in eg. dimensionality. So, what did I miss, or how did I get this completely backwards? EDIT: I've edited the above to clarify that the input represents embeddings that need to be learned. I guess the question can be asked more sharply as: Is it possible to use placeholders for parameters?",|python|tensorflow|,api,4
